id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
pbo-black-vertical-shirt-s_1704,"PBO BLACK VERTICAL SHIRT","Talla: S",https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backfor.jpg,https://powerbuildingoficial.com/producto/pbo-black-vertical-shirt/?attribute_pa_talla=s,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-black-vertical-shirt_1699,https://powerbuildingoficial.com/carrito/?add-to-cart=1699&variation_id=1704&attribute_pa_talla=s,"https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-halfside2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backhalf2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-front2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:S"
pbo-black-vertical-shirt-L_1702,"PBO BLACK VERTICAL SHIRT","Talla: L",https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backfor.jpg,https://powerbuildingoficial.com/producto/pbo-black-vertical-shirt/?attribute_pa_talla=l,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-black-vertical-shirt_1699,https://powerbuildingoficial.com/carrito/?add-to-cart=1699&variation_id=1702&attribute_pa_talla=l,"https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-halfside2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backhalf2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-front2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:L"
pbo-black-vertical-shirt-XL_1701,"PBO BLACK VERTICAL SHIRT","Talla: XL",https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backfor.jpg,https://powerbuildingoficial.com/producto/pbo-black-vertical-shirt/?attribute_pa_talla=xl,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-black-vertical-shirt_1699,https://powerbuildingoficial.com/carrito/?add-to-cart=1699&variation_id=1701&attribute_pa_talla=xl,"https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-halfside2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-backhalf2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/11/pbo-black-vertical-shirt-front2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:XL"
wc_post_id_1604,"ASESORÍA DEPORTIVA IVAN ALONSO","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras el cuestionario inicial en el cuál intentaremos recoger todos los datos posibles para hacer un plan deportivo lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/10/min-a-deportiva-ivan.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-ivan-alonso/,"ASESORÍAS","Powerbuildingoficial",80EUR,in stock,wc_post_id_1604,https://powerbuildingoficial.com/carrito/?add-to-cart=1604,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,50EUR,new,staging,,
wc_post_id_1072,"ASESORÍA DEPORTIVA + NUTRICIONAL IVAN ALONSO","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-ivan-alonso.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-ivan-alonso/,"ASESORÍAS","Powerbuildingoficial",150EUR,in stock,wc_post_id_1072,https://powerbuildingoficial.com/carrito/?add-to-cart=1072,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,100EUR,new,staging,,
wc_post_id_1068,"ASESORÍA DEPORTIVA + NUTRICIONAL JOAN PRADELLS","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-joan-pradells.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-joan-pradells/,"ASESORÍAS","Powerbuildingoficial",150EUR,in stock,wc_post_id_1068,https://powerbuildingoficial.com/carrito/?add-to-cart=1068,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,100EUR,new,staging,,
wc_post_id_1066,"ASESORÍA DEPORTIVA + NUTRICIONAL SERGIO MARTI","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-sergio-marti.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-sergio-marti/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1066,https://powerbuildingoficial.com/carrito/?add-to-cart=1066,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1064,"ASESORÍA DEPORTIVA + NUTRICIONAL SERGIO CAMARA","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-sergio-camara.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-sergio-camara/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1064,https://powerbuildingoficial.com/carrito/?add-to-cart=1064,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1062,"ASESORÍA DEPORTIVA + NUTRICIONAL CRISTIAN DIAZ","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-cristian-diaz.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-cristian-diaz/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1062,https://powerbuildingoficial.com/carrito/?add-to-cart=1062,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1060,"ASESORÍA DEPORTIVA + NUTRICIONAL ARIADNA","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-ariadna-squirrel.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-ariadna/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1060,https://powerbuildingoficial.com/carrito/?add-to-cart=1060,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1053,"ASESORÍA DEPORTIVA + NUTRICIONAL ALBERTO SANZ","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-alberto-sanz.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-alberto-sanz/,"ASESORÍAS","Powerbuildingoficial",150EUR,in stock,wc_post_id_1053,https://powerbuildingoficial.com/carrito/?add-to-cart=1053,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,100EUR,new,staging,,
wc_post_id_1051,"ASESORÍA DEPORTIVA + NUTRICIONAL ALBERTO HERRAIZ","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-alberto-herraiz.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-albertoh-mensual/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1051,https://powerbuildingoficial.com/carrito/?add-to-cart=1051,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1045,"ASESORÍA DEPORTIVA + NUTRICIONAL ROBERT PENEV","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-robert-penev.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-robert-mensual/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1045,https://powerbuildingoficial.com/carrito/?add-to-cart=1045,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_1043,"ASESORÍA DEPORTIVA + NUTRICIONAL ÁNGELA VALENZUELA","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuáles son tus sensaciones. 
 
Además, podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-angela-valenzuela.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-angela-mensual/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_1043,https://powerbuildingoficial.com/carrito/?add-to-cart=1043,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
wc_post_id_920,"ASESORÍA DEPORTIVA + NUTRICIONAL ALBERTO GONZÁLES","Durante cuatro semanas trabajaremos de forma conjunta por conseguir todos tus objetivos, tanto a nivel de rendimiento como a nivel estético. 
 
Tras un par de cuestionarios iniciales en los cuales intentaremos recoger todos los datos posibles para hacer un plan deportivo y nutricional lo más individualizado posible a tus circunstancias y objetivos. 
 
Además de un seguimiento diario por WhatsApp (contestando en un plazo máximo de 24 horas), actualizare tu plan cada dos semanas en base a cómo te vas adaptando y cuales son tus sensaciones. 
 
Además podemos contratar una sesión de Skype si lo ves necesario para resolver dudas.",https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-asesoria-alberto-gonzales.jpg,https://powerbuildingoficial.com/producto/asesoria-deportiva-nutricional-alberto-mensual/,"ASESORÍAS","Powerbuildingoficial",100EUR,in stock,wc_post_id_920,https://powerbuildingoficial.com/carrito/?add-to-cart=920,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,60EUR,new,staging,,
camiseta-red-white-gorila_682,"CAMISETA REDWHITE GORILA","Talla: XL",https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-backview02.jpg,https://powerbuildingoficial.com/producto/camiseta-redwhite-gorila/?attribute_pa_talla=xl,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,camiseta-red-white-gorila_664,https://powerbuildingoficial.com/carrito/?add-to-cart=664&variation_id=682&attribute_pa_talla=xl,"https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-frontview01.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-sideview03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:XL/L/M/S:XL"
camiseta-red-white-gorila_681,"CAMISETA REDWHITE GORILA","Talla: L",https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-backview02.jpg,https://powerbuildingoficial.com/producto/camiseta-redwhite-gorila/?attribute_pa_talla=l,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,out of stock,camiseta-red-white-gorila_664,https://powerbuildingoficial.com/carrito/?add-to-cart=664&variation_id=681&attribute_pa_talla=l,"https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-frontview01.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-sideview03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:XL/L/M/S:L"
camiseta-red-white-gorila_679,"CAMISETA REDWHITE GORILA","Talla: M",https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-backview02.jpg,https://powerbuildingoficial.com/producto/camiseta-redwhite-gorila/?attribute_pa_talla=m,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,camiseta-red-white-gorila_664,https://powerbuildingoficial.com/carrito/?add-to-cart=664&variation_id=679&attribute_pa_talla=m,"https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-frontview01.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-sideview03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:XL/L/M/S:M"
camiseta-red-white-gorila_678,"CAMISETA REDWHITE GORILA","Talla: S",https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-backview02.jpg,https://powerbuildingoficial.com/producto/camiseta-redwhite-gorila/?attribute_pa_talla=s,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,camiseta-red-white-gorila_664,https://powerbuildingoficial.com/carrito/?add-to-cart=664&variation_id=678&attribute_pa_talla=s,"https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-frontview01.jpg,https://powerbuildingoficial.com/wp-content/uploads/2019/09/red-white-gorila-sideview03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:XL/L/M/S:S"
